,Year,Date,?,Schl,Rk.,?.1,Opp,Rk..1,?.2,?.3,PTS,OPP,MOV,?.4,OT,neutral
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
84,2021-22,2021-11-09,,Manhattan,,,Manhattanville,,W,,99,42,57,,,False
85,2021-22,2021-11-09,,Washington State,,,Alcorn State,,W,,85,67,18,,,False
86,2021-22,2021-11-09,,Villanova,4,,Mount St. Mary's,,W,,91,51,40,,,False
87,2021-22,2021-11-09,,California,,,UC San Diego,,L,,67,80,-13,,,False
88,2021-22,2021-11-09,,South Florida,,,Bethune-Cookman,,W,,75,54,21,,,False
89,2021-22,2021-11-09,,Wofford,,,Bob Jones University,,W,,117,79,38,,,False
90,2021-22,2021-11-09,,Little Rock,,,Southern Illinois,,W,,69,66,3,,,False
91,2021-22,2021-11-09,,Butler,,,IUPUI,,W,,56,47,9,,,False
92,2021-22,2021-11-09,,Connecticut,24,,Central Connecticut State,,W,,99,48,51,,,False
93,2021-22,2021-11-09,,Indiana,,,Eastern Michigan,,W,,68,62,6,,,False
94,2021-22,2021-11-09,,Middle Tennessee,,,Brescia,,W,,98,59,39,,,False
95,2021-22,2021-11-09,,Morgan State,,,St. Mary's (MD),,W,,118,55,63,,,False
96,2021-22,2021-11-09,,Ohio State,17,,Akron,,W,,67,66,1,,,False
97,2021-22,2021-11-09,,Radford,,,Emory & Henry,,W,,84,72,12,,,False
98,2021-22,2021-11-09,,Virginia Commonwealth,,,Saint Peter's,,W,,57,54,3,,,False
99,2021-22,2021-11-09,,Winthrop,,,Mary Baldwin,,W,,110,78,32,,,False
100,2021-22,2021-11-09,,UAB,,,UNC Asheville,,W,,102,77,25,,,False
101,2021-22,2021-11-09,,Albany (NY),,,Towson,,L,,56,77,-21,,,False
102,2021-22,2021-11-09,,Arizona State,,,Portland,,W,,76,60,16,,,False
103,2021-22,2021-11-09,,Army,,,SUNY New Paltz,,W,,83,52,31,,,False
0,2021-22,2021-11-09,,Binghamton,,,Cornell,,L,,69,76,-7,,,False
1,2021-22,2021-11-09,,Brown,,,Salve Regina,,W,,89,59,30,,,False
2,2021-22,2021-11-09,,Bryant,,,Fisher College,,W,,122,54,68,,,False
3,2021-22,2021-11-09,,Campbell,,,William Peace,,W,,85,50,35,,,False
4,2021-22,2021-11-09,,Charleston Southern,,,Johnson & Wales (NC),,W,,118,71,47,,,False
5,2021-22,2021-11-09,,Charlotte,,,Monmouth,,W,,68,66,2,,,False
6,2021-22,2021-11-09,,Cincinnati,,,Evansville,,W,,65,43,22,,,False
7,2021-22,2021-11-09,,Clemson,,,Presbyterian,,W,,64,53,11,,,False
8,2021-22,2021-11-09,,Coastal Carolina,,,Ferrum,,W,,101,73,28,,,False
9,2021-22,2021-11-09,,Colgate,,,Northeastern,,W,,65,58,7,,,False
10,2021-22,2021-11-09,,Davidson,,,Delaware,,W,,93,71,22,,,False
11,2021-22,2021-11-09,,Dayton,,,Illinois-Chicago,,W,,64,54,10,,,False
12,2021-22,2021-11-09,,Delaware State,,,Cairn,,W,,80,41,39,,,False
13,2021-22,2021-11-09,,Duquesne,,,Rider,,W,,73,61,12,,,False
14,2021-22,2021-11-09,,East Carolina,,,South Carolina State,,W,,70,62,8,,,False
15,2021-22,2021-11-09,,Eastern Kentucky,,,Georgetown (KY),,W,,93,63,30,,,False
16,2021-22,2021-11-09,,Florida Gulf Coast,,,Florida National University,,W,,94,57,37,,,False
17,2021-22,2021-11-09,,Furman,,,North Greenville,,W,,118,66,52,,,False
18,2021-22,2021-11-09,,George Mason,,,Stony Brook,,W,,74,52,22,,,False
19,2021-22,2021-11-09,,Georgia,,,Florida International,,W,,58,51,7,,,False
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
21,2021-22,2021-11-09,,Georgia Southern,,,Ball State,,W,,82,71,11,,,False
22,2021-22,2021-11-09,,Georgia State,,,Brewton-Parker,,W,,97,37,60,,,False
23,2021-22,2021-11-09,,Georgia Tech,,,Miami (OH),,L,,69,72,-3,,,False
24,2021-22,2021-11-09,,Hampton,,,Mid-Atlantic Christian,,W,,101,51,50,,,False
25,2021-22,2021-11-09,,Harvard,,,Morehouse,,W,,86,70,16,,,False
26,2021-22,2021-11-09,,Holy Cross,,,Regis (MA),,W,,98,51,47,,,False
27,2021-22,2021-11-09,,Howard,,,District of Columbia,,W,,87,59,28,,,False
28,2021-22,2021-11-09,,Incarnate Word,,,Texas State,,L,,57,75,-18,,,False
29,2021-22,2021-11-09,,Iona,,,Appalachian State,,W,,65,53,12,,,False
30,2021-22,2021-11-09,,Purdue-Fort Wayne,,,Earlham,,W,,103,54,49,,,False
31,2021-22,2021-11-09,,Jacksonville,,,Trinity Baptist,,W,,79,43,36,,,False
32,2021-22,2021-11-09,,Maryland,21,,Quinnipiac,,W,,83,69,14,,,False
33,2021-22,2021-11-09,,Massachusetts,,,Maryland-Baltimore County,,W,,77,60,17,,,False
34,2021-22,2021-11-09,,Massachusetts-Lowell,,,Rivier,,W,,91,55,36,,,False
35,2021-22,2021-11-09,,Merrimack,,,Emerson,,W,,77,48,29,,,False
36,2021-22,2021-11-09,,Miami (FL),,,Canisius,,W,,77,67,10,,,False
37,2021-22,2021-11-09,,Mississippi,,,New Orleans,,W,,82,61,21,,,False
38,2021-22,2021-11-09,,New Hampshire,,,Saint Joseph's (ME),,W,,98,53,45,,,False
39,2021-22,2021-11-09,,North Carolina,19,,Loyola (MD),,W,,83,67,16,,,False
40,2021-22,2021-11-09,,UNC Greensboro,,,North Carolina A&T,,W,,57,53,4,,,False
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
42,2021-22,2021-11-09,,Northern Kentucky,,,Wheeling Jesuit,,W,,82,54,28,,,False
43,2021-22,2021-11-09,,Ohio,,,Belmont,,W,,92,80,12,,,False
44,2021-22,2021-11-09,,Oregon,13,,Texas Southern,,W,,83,66,17,,,False
45,2021-22,2021-11-09,,Pittsburgh,,,The Citadel,,L,,63,78,-15,,,False
46,2021-22,2021-11-09,,Princeton,,,Rutgers-Camden,,W,,94,28,66,,,False
47,2021-22,2021-11-09,,Providence,,,Fairfield,,W,,80,73,7,,,False
48,2021-22,2021-11-09,,Purdue,7,,Bellarmine,,W,,96,67,29,,,False
49,2021-22,2021-11-09,,Rhode Island,,,Boston University,,W,,71,62,9,,,False
50,2021-22,2021-11-09,,Richmond,,,North Carolina Central,,W,,70,60,10,,,False
51,2021-22,2021-11-09,,South Carolina,,,South Carolina Upstate,,W,,78,60,18,,,False
52,2021-22,2021-11-09,,St. Bonaventure,23,,Siena,,W,,75,47,28,,,False
53,2021-22,2021-11-09,,St. John's (NY),,,Mississippi Valley State,,W,,119,61,58,,,False
54,2021-22,2021-11-09,,Stephen F. Austin,,,Louisiana State-Alexandria,,W,,82,73,9,,,False
55,2021-22,2021-11-09,,Stetson,,,Florida Memorial,,W,,74,67,7,,,False
56,2021-22,2021-11-09,,Syracuse,,,Lafayette,,W,,97,63,34,,,False
57,2021-22,2021-11-09,,Tennessee,18,,Tennessee-Martin,,W,,90,62,28,,,False
58,2021-22,2021-11-09,,Valparaiso,,,Toledo,,L,,61,69,-8,,,False
59,2021-22,2021-11-09,,Virginia Military Institute,,,Carlow,,W,,111,55,56,,,False
60,2021-22,2021-11-09,,Wagner,,,Hartford,,W,,77,59,18,,,False
61,2021-22,2021-11-09,,West Virginia,,,Oakland,,W,,60,53,7,,,False
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
63,2021-22,2021-11-09,,Western Carolina,,,Bowling Green State,,W,,79,71,8,,1,False
64,2021-22,2021-11-09,,Wright State,,,Lake Erie,,W,,86,53,33,,,False
65,2021-22,2021-11-09,,Xavier,,,Niagara,,W,,63,60,3,,,False
66,2021-22,2021-11-09,,Yale,,,Vassar,,W,,88,42,46,,,False
67,2021-22,2021-11-09,,Alabama A&M,,,Tennessee State,,W,,82,73,9,,,False
68,2021-22,2021-11-09,,American,,,Marist,,W,,77,73,4,,1,False
69,2021-22,2021-11-09,,Arkansas,16,,Mercer,,W,,74,61,13,,,False
70,2021-22,2021-11-09,,Auburn,22,,Morehead State,,W,,77,54,23,,,False
71,2021-22,2021-11-09,,Austin Peay,,,Tennessee-Southern,,W,,86,79,7,,,False
72,2021-22,2021-11-09,,Boston College,,,Dartmouth,,W,,73,57,16,,,False
73,2021-22,2021-11-09,,Chicago State,,,St. Thomas,,W,,77,72,5,,,False
74,2021-22,2021-11-09,,Creighton,,,Arkansas-Pine Bluff,,W,,90,77,13,,,False
75,2021-22,2021-11-09,,Drake,,,Coe,,W,,87,61,26,,,False
76,2021-22,2021-11-09,,Drexel,,,Neumann,,W,,103,74,29,,,False
77,2021-22,2021-11-09,,Florida,,,Elon,,W,,74,61,13,,,False
78,2021-22,2021-11-09,,Fordham,,,Columbia,,W,,77,67,10,,,False
79,2021-22,2021-11-09,,George Washington,,,Saint Francis (PA),,W,,75,72,3,,,False
80,2021-22,2021-11-09,,Green Bay,,,Indiana State,,L,,77,81,-4,,,False
81,2021-22,2021-11-09,,High Point,,,Shenandoah,,W,,108,59,49,,,False
82,2021-22,2021-11-09,,Houston,15,,Hofstra,,W,,83,75,8,,1,False
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,False
84,2021-22,2021-11-09,,Illinois,11,,Jackson State,,W,,71,47,24,,,False
85,2021-22,2021-11-09,,Illinois State,,,UNC Wilmington,,W,,68,63,5,,,False
86,2021-22,2021-11-09,,Iowa State,,,Kennesaw State,,W,,84,73,11,,,False
87,2021-22,2021-11-09,,La Salle,,,Sacred Heart,,L,,81,86,-5,,1,False
88,2021-22,2021-11-09,,Lamar,,,Wiley,,W,,67,50,17,,,False
89,2021-22,2021-11-09,,Lipscomb,,,Birmingham-Southern,,W,,105,98,7,,,False
90,2021-22,2021-11-09,,Louisiana,,,West Florida,,W,,81,47,34,,,False
91,2021-22,2021-11-09,,Louisiana State,,,Louisiana-Monroe,,W,,101,39,62,,,False
92,2021-22,2021-11-09,,Loyola (IL),,,Coppin State,,W,,103,45,58,,,False
93,2021-22,2021-11-09,,Marquette,,,Southern Illinois-Edwardsville,,W,,88,77,11,,,False
94,2021-22,2021-11-09,,Memphis,12,,Tennessee Tech,,W,,89,65,24,,,False
95,2021-22,2021-11-09,,Minnesota,,,Kansas City,,W,,71,56,15,,,False
96,2021-22,2021-11-09,,Missouri,,,Central Michigan,,W,,78,68,10,,,False
97,2021-22,2021-11-09,,Missouri State,,,Southeast Missouri State,,L,,94,99,-5,,,False
98,2021-22,2021-11-09,,Murray State,,,Cumberland,,W,,109,77,32,,,False
99,2021-22,2021-11-09,,Nebraska,,,Western Illinois,,L,,74,75,-1,,,False
100,2021-22,2021-11-09,,Omaha,,,Hastings (NE),,W,,67,57,10,,,False
101,2021-22,2021-11-09,,Norfolk State,,,Bridgewater (VA),,W,,79,56,23,,,False
102,2021-22,2021-11-09,,NC State,,,Bucknell,,W,,88,70,18,,,False
103,2021-22,2021-11-09,,North Dakota,,,Milwaukee,,L,,60,75,-15,,,False
0,2021-22,2021-11-09,,North Dakota State,,,Concordia-Moorhead,,W,,88,44,44,,,False
1,2021-22,2021-11-09,,North Texas,,,Oklahoma Christian,,W,,84,53,31,,,False
2,2021-22,2021-11-09,,Northern Iowa,,,Nicholls State,,L,,58,62,-4,,,False
3,2021-22,2021-11-09,,Northwestern,,,Eastern Illinois,,W,,80,56,24,,,False
4,2021-22,2021-11-09,,Oklahoma,,,Northwestern State,,W,,77,59,18,,,False
