,Year,Date,?,Schl,Rk.,?.1,Opp,Rk..1,?.2,?.3,PTS,OPP,MOV,?.4,OT,playoff
59,2004-05,2005-03-26,,Illinois,1,,Arizona,9,W,,90,89,1,,1,True
60,2004-05,2005-03-26,,Louisville,4,,West Virginia,,W,,93,85,8,,1,True
61,2004-05,2005-03-27,,Michigan State,15,,Kentucky,7,W,,94,88,6,,2,True
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
63,2004-05,2005-03-27,,North Carolina,2,,Wisconsin,20,W,,88,82,6,,,True
64,2004-05,2005-04-02,,Illinois,1,,Louisville,4,W,,72,57,15,,,True
65,2004-05,2005-04-02,,North Carolina,2,,Michigan State,15,W,,87,71,16,,,True
66,2004-05,2005-04-04,,North Carolina,2,,Illinois,1,W,,75,70,5,,,True
67,2005-06,2006-03-14,,Monmouth,,,Hampton,,W,,71,49,22,,,True
68,2005-06,2006-03-16,,Illinois,13,,Air Force,,W,,78,69,9,,,True
69,2005-06,2006-03-16,,Alabama,,,Marquette,,W,,90,85,5,,,True
70,2005-06,2006-03-16,,UCLA,7,,Belmont,,W,,78,44,34,,,True
71,2005-06,2006-03-16,,Boston College,7,,Pacific,,W,,88,76,12,,2,True
72,2005-06,2006-03-16,,Duke,1,,Southern,,W,,70,54,16,,,True
73,2005-06,2006-03-16,,Florida,11,,South Alabama,,W,,76,50,26,,,True
74,2005-06,2006-03-16,,George Washington,14,,UNC Wilmington,,W,,88,85,3,,1,True
75,2005-06,2006-03-16,,Gonzaga,5,,Xavier,,W,,79,75,4,,,True
76,2005-06,2006-03-16,,Indiana,,,San Diego State,,W,,87,83,4,,,True
77,2005-06,2006-03-16,,Louisiana State,19,,Iona,,W,,80,64,16,,,True
78,2005-06,2006-03-16,,Milwaukee,,,Oklahoma,24,W,,82,74,8,,,True
79,2005-06,2006-03-16,,Montana,,,Nevada,20,W,,87,79,8,,,True
80,2005-06,2006-03-16,,Wichita State,,,Seton Hall,,W,,86,66,20,,,True
81,2005-06,2006-03-16,,Texas A&M,,,Syracuse,21,W,,66,58,8,,,True
82,2005-06,2006-03-16,,Tennessee,18,,Winthrop,,W,,63,61,2,,,True
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
84,2005-06,2006-03-16,,Washington,17,,Utah State,,W,,75,61,14,,,True
85,2005-06,2006-03-17,,Kentucky,,,UAB,25,W,,69,64,5,,,True
86,2005-06,2006-03-17,,Connecticut,2,,Albany (NY),,W,,72,59,13,,,True
87,2005-06,2006-03-17,,Arizona,,,Wisconsin,,W,,94,75,19,,,True
88,2005-06,2006-03-17,,Bucknell,,,Arkansas,,W,,59,55,4,,,True
89,2005-06,2006-03-17,,Bradley,,,Kansas,12,W,,77,73,4,,,True
90,2005-06,2006-03-17,,NC State,,,California,,W,,58,52,6,,,True
91,2005-06,2006-03-17,,Ohio State,6,,Davidson,,W,,70,62,8,,,True
92,2005-06,2006-03-17,,George Mason,,,Michigan State,,W,,75,65,10,,,True
93,2005-06,2006-03-17,,Georgetown,23,,Northern Iowa,,W,,54,49,5,,,True
94,2005-06,2006-03-17,,Northwestern State,,,Iowa,15,W,,64,63,1,,,True
95,2005-06,2006-03-17,,Pittsburgh,16,,Kent State,,W,,79,64,15,,,True
96,2005-06,2006-03-17,,Memphis,4,,Oral Roberts,,W,,94,78,16,,,True
97,2005-06,2006-03-17,,Villanova,3,,Monmouth,,W,,58,45,13,,,True
98,2005-06,2006-03-17,,North Carolina,10,,Murray State,,W,,69,65,4,,,True
99,2005-06,2006-03-17,,Texas,9,,Pennsylvania,,W,,60,52,8,,,True
100,2005-06,2006-03-17,,West Virginia,22,,Southern Illinois,,W,,64,46,18,,,True
101,2005-06,2006-03-18,,UCLA,7,,Alabama,,W,,62,59,3,,,True
102,2005-06,2006-03-18,,Boston College,7,,Montana,,W,,69,56,13,,,True
103,2005-06,2006-03-18,,Duke,1,,George Washington,14,W,,74,61,13,,,True
0,2005-06,2006-03-18,,Florida,11,,Milwaukee,,W,,82,60,22,,,True
1,2005-06,2006-03-18,,Gonzaga,5,,Indiana,,W,,90,80,10,,,True
2,2005-06,2006-03-18,,Washington,17,,Illinois,13,W,,67,64,3,,,True
3,2005-06,2006-03-18,,Louisiana State,19,,Texas A&M,,W,,58,57,1,,,True
4,2005-06,2006-03-18,,Wichita State,,,Tennessee,18,W,,80,73,7,,,True
5,2005-06,2006-03-19,,Villanova,3,,Arizona,,W,,82,78,4,,,True
6,2005-06,2006-03-19,,Bradley,,,Pittsburgh,16,W,,72,66,6,,,True
7,2005-06,2006-03-19,,Memphis,4,,Bucknell,,W,,72,56,16,,,True
8,2005-06,2006-03-19,,Connecticut,2,,Kentucky,,W,,87,83,4,,,True
9,2005-06,2006-03-19,,George Mason,,,North Carolina,10,W,,65,60,5,,,True
10,2005-06,2006-03-19,,Georgetown,23,,Ohio State,6,W,,70,52,18,,,True
11,2005-06,2006-03-19,,Texas,9,,NC State,,W,,75,54,21,,,True
12,2005-06,2006-03-19,,West Virginia,22,,Northwestern State,,W,,67,54,13,,,True
13,2005-06,2006-03-23,,Memphis,4,,Bradley,,W,,80,64,16,,,True
14,2005-06,2006-03-23,,Louisiana State,19,,Duke,1,W,,62,54,8,,,True
15,2005-06,2006-03-23,,UCLA,7,,Gonzaga,5,W,,73,71,2,,,True
16,2005-06,2006-03-23,,Texas,9,,West Virginia,22,W,,74,71,3,,,True
17,2005-06,2006-03-24,,Villanova,3,,Boston College,7,W,,60,59,1,,1,True
18,2005-06,2006-03-24,,Connecticut,2,,Washington,17,W,,98,92,6,,1,True
19,2005-06,2006-03-24,,Florida,11,,Georgetown,23,W,,57,53,4,,,True
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
21,2005-06,2006-03-24,,George Mason,,,Wichita State,,W,,63,55,8,,,True
22,2005-06,2006-03-25,,Louisiana State,19,,Texas,9,W,,70,60,10,,1,True
23,2005-06,2006-03-25,,UCLA,7,,Memphis,4,W,,50,45,5,,,True
24,2005-06,2006-03-26,,George Mason,,,Connecticut,2,W,,86,84,2,,1,True
25,2005-06,2006-03-26,,Florida,11,,Villanova,3,W,,75,62,13,,,True
26,2005-06,2006-04-01,,Florida,11,,George Mason,,W,,73,58,15,,,True
27,2005-06,2006-04-01,,UCLA,7,,Louisiana State,19,W,,59,45,14,,,True
28,2005-06,2006-04-03,,Florida,11,,UCLA,7,W,,73,57,16,,,True
0,2005-06,2006-03-14,,Monmouth,,,Hampton,,W,,71,49,22,,,True
1,2005-06,2006-03-16,,Illinois,13,,Air Force,,W,,78,69,9,,,True
2,2005-06,2006-03-16,,Alabama,,,Marquette,,W,,90,85,5,,,True
3,2005-06,2006-03-16,,UCLA,7,,Belmont,,W,,78,44,34,,,True
4,2005-06,2006-03-16,,Boston College,7,,Pacific,,W,,88,76,12,,2,True
5,2005-06,2006-03-16,,Duke,1,,Southern,,W,,70,54,16,,,True
6,2005-06,2006-03-16,,Florida,11,,South Alabama,,W,,76,50,26,,,True
7,2005-06,2006-03-16,,George Washington,14,,UNC Wilmington,,W,,88,85,3,,1,True
8,2005-06,2006-03-16,,Gonzaga,5,,Xavier,,W,,79,75,4,,,True
9,2005-06,2006-03-16,,Indiana,,,San Diego State,,W,,87,83,4,,,True
10,2005-06,2006-03-16,,Louisiana State,19,,Iona,,W,,80,64,16,,,True
11,2005-06,2006-03-16,,Milwaukee,,,Oklahoma,24,W,,82,74,8,,,True
12,2005-06,2006-03-16,,Montana,,,Nevada,20,W,,87,79,8,,,True
13,2005-06,2006-03-16,,Wichita State,,,Seton Hall,,W,,86,66,20,,,True
14,2005-06,2006-03-16,,Texas A&M,,,Syracuse,21,W,,66,58,8,,,True
15,2005-06,2006-03-16,,Tennessee,18,,Winthrop,,W,,63,61,2,,,True
16,2005-06,2006-03-16,,Washington,17,,Utah State,,W,,75,61,14,,,True
17,2005-06,2006-03-17,,Kentucky,,,UAB,25,W,,69,64,5,,,True
18,2005-06,2006-03-17,,Connecticut,2,,Albany (NY),,W,,72,59,13,,,True
19,2005-06,2006-03-17,,Arizona,,,Wisconsin,,W,,94,75,19,,,True
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
21,2005-06,2006-03-17,,Bucknell,,,Arkansas,,W,,59,55,4,,,True
22,2005-06,2006-03-17,,Bradley,,,Kansas,12,W,,77,73,4,,,True
23,2005-06,2006-03-17,,NC State,,,California,,W,,58,52,6,,,True
24,2005-06,2006-03-17,,Ohio State,6,,Davidson,,W,,70,62,8,,,True
25,2005-06,2006-03-17,,George Mason,,,Michigan State,,W,,75,65,10,,,True
26,2005-06,2006-03-17,,Georgetown,23,,Northern Iowa,,W,,54,49,5,,,True
27,2005-06,2006-03-17,,Northwestern State,,,Iowa,15,W,,64,63,1,,,True
28,2005-06,2006-03-17,,Pittsburgh,16,,Kent State,,W,,79,64,15,,,True
29,2005-06,2006-03-17,,Memphis,4,,Oral Roberts,,W,,94,78,16,,,True
30,2005-06,2006-03-17,,Villanova,3,,Monmouth,,W,,58,45,13,,,True
31,2005-06,2006-03-17,,North Carolina,10,,Murray State,,W,,69,65,4,,,True
32,2005-06,2006-03-17,,Texas,9,,Pennsylvania,,W,,60,52,8,,,True
33,2005-06,2006-03-17,,West Virginia,22,,Southern Illinois,,W,,64,46,18,,,True
34,2005-06,2006-03-18,,UCLA,7,,Alabama,,W,,62,59,3,,,True
35,2005-06,2006-03-18,,Boston College,7,,Montana,,W,,69,56,13,,,True
36,2005-06,2006-03-18,,Duke,1,,George Washington,14,W,,74,61,13,,,True
37,2005-06,2006-03-18,,Florida,11,,Milwaukee,,W,,82,60,22,,,True
38,2005-06,2006-03-18,,Gonzaga,5,,Indiana,,W,,90,80,10,,,True
39,2005-06,2006-03-18,,Washington,17,,Illinois,13,W,,67,64,3,,,True
40,2005-06,2006-03-18,,Louisiana State,19,,Texas A&M,,W,,58,57,1,,,True
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
42,2005-06,2006-03-18,,Wichita State,,,Tennessee,18,W,,80,73,7,,,True
43,2005-06,2006-03-19,,Villanova,3,,Arizona,,W,,82,78,4,,,True
44,2005-06,2006-03-19,,Bradley,,,Pittsburgh,16,W,,72,66,6,,,True
45,2005-06,2006-03-19,,Memphis,4,,Bucknell,,W,,72,56,16,,,True
46,2005-06,2006-03-19,,Connecticut,2,,Kentucky,,W,,87,83,4,,,True
47,2005-06,2006-03-19,,George Mason,,,North Carolina,10,W,,65,60,5,,,True
48,2005-06,2006-03-19,,Georgetown,23,,Ohio State,6,W,,70,52,18,,,True
49,2005-06,2006-03-19,,Texas,9,,NC State,,W,,75,54,21,,,True
50,2005-06,2006-03-19,,West Virginia,22,,Northwestern State,,W,,67,54,13,,,True
51,2005-06,2006-03-23,,Memphis,4,,Bradley,,W,,80,64,16,,,True
52,2005-06,2006-03-23,,Louisiana State,19,,Duke,1,W,,62,54,8,,,True
53,2005-06,2006-03-23,,UCLA,7,,Gonzaga,5,W,,73,71,2,,,True
54,2005-06,2006-03-23,,Texas,9,,West Virginia,22,W,,74,71,3,,,True
55,2005-06,2006-03-24,,Villanova,3,,Boston College,7,W,,60,59,1,,1,True
56,2005-06,2006-03-24,,Connecticut,2,,Washington,17,W,,98,92,6,,1,True
57,2005-06,2006-03-24,,Florida,11,,Georgetown,23,W,,57,53,4,,,True
58,2005-06,2006-03-24,,George Mason,,,Wichita State,,W,,63,55,8,,,True
59,2005-06,2006-03-25,,Louisiana State,19,,Texas,9,W,,70,60,10,,1,True
60,2005-06,2006-03-25,,UCLA,7,,Memphis,4,W,,50,45,5,,,True
61,2005-06,2006-03-26,,George Mason,,,Connecticut,2,W,,86,84,2,,1,True
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
63,2005-06,2006-03-26,,Florida,11,,Villanova,3,W,,75,62,13,,,True
64,2005-06,2006-04-01,,Florida,11,,George Mason,,W,,73,58,15,,,True
65,2005-06,2006-04-01,,UCLA,7,,Louisiana State,19,W,,59,45,14,,,True
66,2005-06,2006-04-03,,Florida,11,,UCLA,7,W,,73,57,16,,,True
67,2006-07,2007-03-13,,Niagara,,,Florida A&M,,W,,77,69,8,,,True
68,2006-07,2007-03-15,,Georgetown,8,,Belmont,,W,,80,55,25,,,True
69,2006-07,2007-03-15,,Boston College,,,Texas Tech,,W,,84,75,9,,,True
70,2006-07,2007-03-15,,Xavier,,,Brigham Young,24,W,,79,77,2,,,True
71,2006-07,2007-03-15,,Butler,21,,Old Dominion,,W,,57,46,11,,,True
72,2006-07,2007-03-15,,Ohio State,1,,Central Connecticut State,,W,,78,57,21,,,True
73,2006-07,2007-03-15,,Maryland,18,,Davidson,,W,,82,70,12,,,True
74,2006-07,2007-03-15,,Virginia Commonwealth,,,Duke,,W,,79,77,2,,,True
75,2006-07,2007-03-15,,North Carolina,4,,Eastern Kentucky,,W,,86,65,21,,,True
76,2006-07,2007-03-15,,Vanderbilt,,,George Washington,,W,,77,44,33,,,True
77,2006-07,2007-03-15,,Indiana,,,Gonzaga,,W,,70,57,13,,,True
78,2006-07,2007-03-15,,Louisville,16,,Stanford,,W,,78,58,20,,,True
79,2006-07,2007-03-15,,Michigan State,,,Marquette,20,W,,61,49,12,,,True
80,2006-07,2007-03-15,,Washington State,13,,Oral Roberts,,W,,70,54,16,,,True
81,2006-07,2007-03-15,,Texas A&M,9,,Pennsylvania,,W,,68,52,16,,,True
82,2006-07,2007-03-15,,Pittsburgh,12,,Wright State,,W,,79,58,21,,,True
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
84,2006-07,2007-03-15,,UCLA,7,,Weber State,,W,,70,42,28,,,True
85,2006-07,2007-03-16,,Virginia,,,Albany (NY),,W,,84,57,27,,,True
86,2006-07,2007-03-16,,Purdue,,,Arizona,,W,,72,63,9,,,True
87,2006-07,2007-03-16,,Southern California,23,,Arkansas,,W,,77,60,17,,,True
88,2006-07,2007-03-16,,Nevada,15,,Creighton,,W,,77,71,6,,1,True
89,2006-07,2007-03-16,,Florida,3,,Jackson State,,W,,112,69,43,,,True
90,2006-07,2007-03-16,,Nevada-Las Vegas,19,,Georgia Tech,,W,,67,63,4,,,True
91,2006-07,2007-03-16,,Southern Illinois,14,,Holy Cross,,W,,61,51,10,,,True
92,2006-07,2007-03-16,,Virginia Tech,,,Illinois,,W,,54,52,2,,,True
93,2006-07,2007-03-16,,Kansas,2,,Niagara,,W,,107,67,40,,,True
94,2006-07,2007-03-16,,Kentucky,,,Villanova,,W,,67,58,9,,,True
95,2006-07,2007-03-16,,Tennessee,25,,Long Beach State,,W,,121,86,35,,,True
96,2006-07,2007-03-16,,Memphis,5,,North Texas,,W,,73,58,15,,,True
97,2006-07,2007-03-16,,Oregon,10,,Miami (OH),,W,,58,56,2,,,True
98,2006-07,2007-03-16,,Texas,11,,New Mexico State,,W,,79,67,12,,,True
99,2006-07,2007-03-16,,Winthrop,22,,Notre Dame,17,W,,74,64,10,,,True
100,2006-07,2007-03-16,,Wisconsin,6,,Texas A&M-Corpus Christi,,W,,76,63,13,,,True
101,2006-07,2007-03-17,,Georgetown,8,,Boston College,,W,,62,55,7,,,True
102,2006-07,2007-03-17,,Butler,21,,Maryland,18,W,,62,59,3,,,True
103,2006-07,2007-03-17,,UCLA,7,,Indiana,,W,,54,49,5,,,True
0,2006-07,2007-03-17,,Texas A&M,9,,Louisville,16,W,,72,69,3,,,True
1,2006-07,2007-03-17,,North Carolina,4,,Michigan State,,W,,81,67,14,,,True
2,2006-07,2007-03-17,,Ohio State,1,,Xavier,,W,,78,71,7,,1,True
3,2006-07,2007-03-17,,Pittsburgh,12,,Virginia Commonwealth,,W,,84,79,5,,1,True
4,2006-07,2007-03-17,,Vanderbilt,,,Washington State,13,W,,78,74,4,,2,True
5,2006-07,2007-03-18,,Florida,3,,Purdue,,W,,74,67,7,,,True
6,2006-07,2007-03-18,,Kansas,2,,Kentucky,,W,,88,76,12,,,True
7,2006-07,2007-03-18,,Memphis,5,,Nevada,15,W,,78,62,16,,,True
8,2006-07,2007-03-18,,Nevada-Las Vegas,19,,Wisconsin,6,W,,74,68,6,,,True
9,2006-07,2007-03-18,,Oregon,10,,Winthrop,22,W,,75,61,14,,,True
10,2006-07,2007-03-18,,Southern California,23,,Texas,11,W,,87,68,19,,,True
11,2006-07,2007-03-18,,Southern Illinois,14,,Virginia Tech,,W,,63,48,15,,,True
12,2006-07,2007-03-18,,Tennessee,25,,Virginia,,W,,77,74,3,,,True
13,2006-07,2007-03-22,,Kansas,2,,Southern Illinois,14,W,,61,58,3,,,True
14,2006-07,2007-03-22,,Memphis,5,,Texas A&M,9,W,,65,64,1,,,True
15,2006-07,2007-03-22,,Ohio State,1,,Tennessee,25,W,,85,84,1,,,True
16,2006-07,2007-03-22,,UCLA,7,,Pittsburgh,12,W,,64,55,9,,,True
17,2006-07,2007-03-23,,Florida,3,,Butler,21,W,,65,57,8,,,True
18,2006-07,2007-03-23,,Georgetown,8,,Vanderbilt,,W,,66,65,1,,,True
19,2006-07,2007-03-23,,Oregon,10,,Nevada-Las Vegas,19,W,,76,72,4,,,True
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
21,2006-07,2007-03-23,,North Carolina,4,,Southern California,23,W,,74,64,10,,,True
22,2006-07,2007-03-24,,UCLA,7,,Kansas,2,W,,68,55,13,,,True
23,2006-07,2007-03-24,,Ohio State,1,,Memphis,5,W,,92,76,16,,,True
24,2006-07,2007-03-25,,Florida,3,,Oregon,10,W,,85,77,8,,,True
25,2006-07,2007-03-25,,Georgetown,8,,North Carolina,4,W,,96,84,12,,1,True
26,2006-07,2007-03-31,,Florida,3,,UCLA,7,W,,76,66,10,,,True
27,2006-07,2007-03-31,,Ohio State,1,,Georgetown,8,W,,67,60,7,,,True
28,2006-07,2007-04-02,,Florida,3,,Ohio State,1,W,,84,75,9,,,True
0,2006-07,2007-03-13,,Niagara,,,Florida A&M,,W,,77,69,8,,,True
1,2006-07,2007-03-15,,Georgetown,8,,Belmont,,W,,80,55,25,,,True
2,2006-07,2007-03-15,,Boston College,,,Texas Tech,,W,,84,75,9,,,True
3,2006-07,2007-03-15,,Xavier,,,Brigham Young,24,W,,79,77,2,,,True
4,2006-07,2007-03-15,,Butler,21,,Old Dominion,,W,,57,46,11,,,True
5,2006-07,2007-03-15,,Ohio State,1,,Central Connecticut State,,W,,78,57,21,,,True
6,2006-07,2007-03-15,,Maryland,18,,Davidson,,W,,82,70,12,,,True
7,2006-07,2007-03-15,,Virginia Commonwealth,,,Duke,,W,,79,77,2,,,True
8,2006-07,2007-03-15,,North Carolina,4,,Eastern Kentucky,,W,,86,65,21,,,True
9,2006-07,2007-03-15,,Vanderbilt,,,George Washington,,W,,77,44,33,,,True
10,2006-07,2007-03-15,,Indiana,,,Gonzaga,,W,,70,57,13,,,True
11,2006-07,2007-03-15,,Louisville,16,,Stanford,,W,,78,58,20,,,True
12,2006-07,2007-03-15,,Michigan State,,,Marquette,20,W,,61,49,12,,,True
13,2006-07,2007-03-15,,Washington State,13,,Oral Roberts,,W,,70,54,16,,,True
14,2006-07,2007-03-15,,Texas A&M,9,,Pennsylvania,,W,,68,52,16,,,True
15,2006-07,2007-03-15,,Pittsburgh,12,,Wright State,,W,,79,58,21,,,True
16,2006-07,2007-03-15,,UCLA,7,,Weber State,,W,,70,42,28,,,True
17,2006-07,2007-03-16,,Virginia,,,Albany (NY),,W,,84,57,27,,,True
18,2006-07,2007-03-16,,Purdue,,,Arizona,,W,,72,63,9,,,True
19,2006-07,2007-03-16,,Southern California,23,,Arkansas,,W,,77,60,17,,,True
20,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
21,2006-07,2007-03-16,,Nevada,15,,Creighton,,W,,77,71,6,,1,True
22,2006-07,2007-03-16,,Florida,3,,Jackson State,,W,,112,69,43,,,True
23,2006-07,2007-03-16,,Nevada-Las Vegas,19,,Georgia Tech,,W,,67,63,4,,,True
24,2006-07,2007-03-16,,Southern Illinois,14,,Holy Cross,,W,,61,51,10,,,True
25,2006-07,2007-03-16,,Virginia Tech,,,Illinois,,W,,54,52,2,,,True
26,2006-07,2007-03-16,,Kansas,2,,Niagara,,W,,107,67,40,,,True
27,2006-07,2007-03-16,,Kentucky,,,Villanova,,W,,67,58,9,,,True
28,2006-07,2007-03-16,,Tennessee,25,,Long Beach State,,W,,121,86,35,,,True
29,2006-07,2007-03-16,,Memphis,5,,North Texas,,W,,73,58,15,,,True
30,2006-07,2007-03-16,,Oregon,10,,Miami (OH),,W,,58,56,2,,,True
31,2006-07,2007-03-16,,Texas,11,,New Mexico State,,W,,79,67,12,,,True
32,2006-07,2007-03-16,,Winthrop,22,,Notre Dame,17,W,,74,64,10,,,True
33,2006-07,2007-03-16,,Wisconsin,6,,Texas A&M-Corpus Christi,,W,,76,63,13,,,True
34,2006-07,2007-03-17,,Georgetown,8,,Boston College,,W,,62,55,7,,,True
35,2006-07,2007-03-17,,Butler,21,,Maryland,18,W,,62,59,3,,,True
36,2006-07,2007-03-17,,UCLA,7,,Indiana,,W,,54,49,5,,,True
37,2006-07,2007-03-17,,Texas A&M,9,,Louisville,16,W,,72,69,3,,,True
38,2006-07,2007-03-17,,North Carolina,4,,Michigan State,,W,,81,67,14,,,True
39,2006-07,2007-03-17,,Ohio State,1,,Xavier,,W,,78,71,7,,1,True
40,2006-07,2007-03-17,,Pittsburgh,12,,Virginia Commonwealth,,W,,84,79,5,,1,True
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
42,2006-07,2007-03-17,,Vanderbilt,,,Washington State,13,W,,78,74,4,,2,True
43,2006-07,2007-03-18,,Florida,3,,Purdue,,W,,74,67,7,,,True
44,2006-07,2007-03-18,,Kansas,2,,Kentucky,,W,,88,76,12,,,True
45,2006-07,2007-03-18,,Memphis,5,,Nevada,15,W,,78,62,16,,,True
46,2006-07,2007-03-18,,Nevada-Las Vegas,19,,Wisconsin,6,W,,74,68,6,,,True
47,2006-07,2007-03-18,,Oregon,10,,Winthrop,22,W,,75,61,14,,,True
48,2006-07,2007-03-18,,Southern California,23,,Texas,11,W,,87,68,19,,,True
49,2006-07,2007-03-18,,Southern Illinois,14,,Virginia Tech,,W,,63,48,15,,,True
50,2006-07,2007-03-18,,Tennessee,25,,Virginia,,W,,77,74,3,,,True
51,2006-07,2007-03-22,,Kansas,2,,Southern Illinois,14,W,,61,58,3,,,True
52,2006-07,2007-03-22,,Memphis,5,,Texas A&M,9,W,,65,64,1,,,True
53,2006-07,2007-03-22,,Ohio State,1,,Tennessee,25,W,,85,84,1,,,True
54,2006-07,2007-03-22,,UCLA,7,,Pittsburgh,12,W,,64,55,9,,,True
55,2006-07,2007-03-23,,Florida,3,,Butler,21,W,,65,57,8,,,True
56,2006-07,2007-03-23,,Georgetown,8,,Vanderbilt,,W,,66,65,1,,,True
57,2006-07,2007-03-23,,Oregon,10,,Nevada-Las Vegas,19,W,,76,72,4,,,True
58,2006-07,2007-03-23,,North Carolina,4,,Southern California,23,W,,74,64,10,,,True
59,2006-07,2007-03-24,,UCLA,7,,Kansas,2,W,,68,55,13,,,True
60,2006-07,2007-03-24,,Ohio State,1,,Memphis,5,W,,92,76,16,,,True
61,2006-07,2007-03-25,,Florida,3,,Oregon,10,W,,85,77,8,,,True
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
63,2006-07,2007-03-25,,Georgetown,8,,North Carolina,4,W,,96,84,12,,1,True
64,2006-07,2007-03-31,,Florida,3,,UCLA,7,W,,76,66,10,,,True
65,2006-07,2007-03-31,,Ohio State,1,,Georgetown,8,W,,67,60,7,,,True
66,2006-07,2007-04-02,,Florida,3,,Ohio State,1,W,,84,75,9,,,True
67,2007-08,2008-03-18,,Mount St. Mary's,,,Coppin State,,W,,69,60,9,,,True
68,2007-08,2008-03-20,,West Virginia,,,Arizona,,W,,75,65,10,,,True
69,2007-08,2008-03-20,,Purdue,20,,Baylor,,W,,90,79,11,,,True
70,2007-08,2008-03-20,,Duke,9,,Belmont,,W,,71,70,1,,,True
71,2007-08,2008-03-20,,Texas A&M,,,Brigham Young,,W,,67,62,5,,,True
72,2007-08,2008-03-20,,Wisconsin,6,,Cal State Fullerton,,W,,71,56,15,,,True
73,2007-08,2008-03-20,,Stanford,10,,Cornell,,W,,77,53,24,,,True
74,2007-08,2008-03-20,,Notre Dame,15,,George Mason,,W,,68,50,18,,,True
75,2007-08,2008-03-20,,Xavier,12,,Georgia,,W,,73,61,12,,,True
76,2007-08,2008-03-20,,Kansas,4,,Portland State,,W,,85,61,24,,,True
77,2007-08,2008-03-20,,Kansas State,,,Southern California,,W,,80,67,13,,,True
78,2007-08,2008-03-20,,Nevada-Las Vegas,,,Kent State,,W,,71,58,13,,,True
79,2007-08,2008-03-20,,Marquette,25,,Kentucky,,W,,74,66,8,,,True
80,2007-08,2008-03-20,,Michigan State,18,,Temple,,W,,72,61,11,,,True
81,2007-08,2008-03-20,,UCLA,3,,Mississippi Valley State,,W,,70,29,41,,,True
82,2007-08,2008-03-20,,Pittsburgh,17,,Oral Roberts,,W,,82,63,19,,,True
83,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
84,2007-08,2008-03-20,,Washington State,21,,Winthrop,,W,,71,40,31,,,True
85,2007-08,2008-03-21,,Tennessee,5,,American,,W,,72,57,15,,,True
86,2007-08,2008-03-21,,Arkansas,,,Indiana,,W,,86,72,14,,,True
87,2007-08,2008-03-21,,Texas,7,,Austin Peay,,W,,74,54,20,,,True
88,2007-08,2008-03-21,,Louisville,13,,Boise State,,W,,79,61,18,,,True
89,2007-08,2008-03-21,,Butler,11,,South Alabama,,W,,81,61,20,,,True
90,2007-08,2008-03-21,,Villanova,,,Clemson,22,W,,75,69,6,,,True
91,2007-08,2008-03-21,,San Diego,,,Connecticut,16,W,,70,69,1,,1,True
92,2007-08,2008-03-21,,Davidson,23,,Gonzaga,24,W,,82,76,6,,,True
93,2007-08,2008-03-21,,Western Kentucky,,,Drake,14,W,,101,99,2,,1,True
94,2007-08,2008-03-21,,Georgetown,8,,Maryland-Baltimore County,,W,,66,47,19,,,True
95,2007-08,2008-03-21,,Memphis,2,,UT Arlington,,W,,87,63,24,,,True
96,2007-08,2008-03-21,,Miami (FL),,,Saint Mary's (CA),,W,,78,64,14,,,True
97,2007-08,2008-03-21,,Mississippi State,,,Oregon,,W,,76,69,7,,,True
98,2007-08,2008-03-21,,North Carolina,1,,Mount St. Mary's,,W,,113,74,39,,,True
99,2007-08,2008-03-21,,Oklahoma,,,Saint Joseph's,,W,,72,64,8,,,True
100,2007-08,2008-03-21,,Siena,,,Vanderbilt,19,W,,83,62,21,,,True
101,2007-08,2008-03-22,,West Virginia,,,Duke,9,W,,73,67,6,,,True
102,2007-08,2008-03-22,,Kansas,4,,Nevada-Las Vegas,,W,,75,56,19,,,True
103,2007-08,2008-03-22,,Wisconsin,6,,Kansas State,,W,,72,55,17,,,True
0,2007-08,2008-03-22,,Stanford,10,,Marquette,25,W,,82,81,1,,1,True
1,2007-08,2008-03-22,,Michigan State,18,,Pittsburgh,17,W,,65,54,11,,,True
2,2007-08,2008-03-22,,Washington State,21,,Notre Dame,15,W,,61,41,20,,,True
3,2007-08,2008-03-22,,Xavier,12,,Purdue,20,W,,85,78,7,,,True
