,Year,Date,?,Schl,Rk.,?.1,Opp,Rk..1,?.2,?.3,PTS,OPP,MOV,?.4,OT,playoff
38,2015-16,2016-03-19,,Iowa State,22,,Little Rock,,W,,78,61,17,,,True
39,2015-16,2016-03-19,,Kansas,1,,Connecticut,,W,,73,61,12,,,True
40,2015-16,2016-03-19,,Indiana,14,,Kentucky,10,W,,73,67,6,,,True
41,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
42,2015-16,2016-03-19,,Miami (FL),10,,Wichita State,,W,,65,57,8,,,True
43,2015-16,2016-03-19,,North Carolina,3,,Providence,,W,,85,66,19,,,True
44,2015-16,2016-03-19,,Gonzaga,,,Utah,13,W,,82,59,23,,,True
45,2015-16,2016-03-19,,Virginia,4,,Butler,,W,,77,69,8,,,True
46,2015-16,2016-03-20,,Maryland,18,,Hawaii,,W,,73,60,13,,,True
47,2015-16,2016-03-20,,Notre Dame,,,Stephen F. Austin,,W,,76,75,1,,,True
48,2015-16,2016-03-20,,Oklahoma,7,,Virginia Commonwealth,,W,,85,81,4,,,True
49,2015-16,2016-03-20,,Oregon,5,,Saint Joseph's,,W,,69,64,5,,,True
50,2015-16,2016-03-20,,Syracuse,,,Middle Tennessee,,W,,75,50,25,,,True
51,2015-16,2016-03-20,,Texas A&M,15,,Northern Iowa,,W,,92,88,4,,2,True
52,2015-16,2016-03-20,,Villanova,6,,Iowa,25,W,,87,68,19,,,True
53,2015-16,2016-03-20,,Wisconsin,,,Xavier,9,W,,66,63,3,,,True
54,2015-16,2016-03-24,,Kansas,1,,Maryland,18,W,,79,63,16,,,True
55,2015-16,2016-03-24,,Oklahoma,7,,Texas A&M,15,W,,77,63,14,,,True
56,2015-16,2016-03-24,,Oregon,5,,Duke,19,W,,82,68,14,,,True
57,2015-16,2016-03-24,,Villanova,6,,Miami (FL),10,W,,92,69,23,,,True
58,2015-16,2016-03-25,,North Carolina,3,,Indiana,14,W,,101,86,15,,,True
59,2015-16,2016-03-25,,Notre Dame,,,Wisconsin,,W,,61,56,5,,,True
60,2015-16,2016-03-25,,Syracuse,,,Gonzaga,,W,,63,60,3,,,True
61,2015-16,2016-03-25,,Virginia,4,,Iowa State,22,W,,84,71,13,,,True
62,Year,Date,?,Schl,Rk.,?,Opp,Rk.,?,?,PTS,OPP,MOV,?,OT,True
63,2015-16,2016-03-26,,Villanova,6,,Kansas,1,W,,64,59,5,,,True
64,2015-16,2016-03-26,,Oklahoma,7,,Oregon,5,W,,80,68,12,,,True
65,2015-16,2016-03-27,,North Carolina,3,,Notre Dame,,W,,88,74,14,,,True
66,2015-16,2016-03-27,,Syracuse,,,Virginia,4,W,,68,62,6,,,True
67,2015-16,2016-04-02,,North Carolina,3,,Syracuse,,W,,83,66,17,,,True
68,2015-16,2016-04-02,,Villanova,6,,Oklahoma,7,W,,95,51,44,,,True
69,2015-16,2016-04-04,,Villanova,6,,North Carolina,3,W,,77,74,3,,,True
70,2016-17,2017-03-14,,Kansas State,,,Wake Forest,,W,,95,88,7,,,True
